name,amenity,lat,lon,district,phone,beds
"M.A.G Osmani Medical College Hospital, Sylhet",hospital,24.9003678,91.8532444,,,
Uttara Adhunik Medical College,hospital,23.8747993,90.396733,,+88028911600,
Uttara Cresent,hospital,23.867307,90.3966708,,,
Institute of Post Graduates Medicine and Research,hospital,23.7391179,90.3955527,,,
Bangladesh Eye Hospital,hospital,23.7517932,90.3673206,,,
Gonoshastha Nagar Hospital,hospital,23.7434833,90.3825849,,+8801716-838078,
National Hospital,hospital,23.7106526,90.4119161,,,
Unknown,hospital,21.3247504,92.0832259,,,
C R P,hospital,23.8562496,90.265914,,,
Khulna Sadar Hospital,hospital,22.8173748,89.5676428,,,
Chittagong Medical College Hospital,hospital,22.3593346,91.830657,,,
Ad-Din Women's Medical college & Hospital,hospital,23.7485032,90.4050678,,,
Holy Family Red Crescent Medical College and Hospital,hospital,23.746598,90.4027318,,,
BUET Health Complex,hospital,23.7279336,90.3923798,,,
Eden Hospital,hospital,22.5727398,88.3600196,,,
Calcutta Medical College & Hospital,hospital,22.5722242,88.3614363,,,
Unknown,hospital,23.705982,90.414386,,,
Vidyasagar State General Hospital,hospital,22.4987178,88.3163322,South 24 Parganas,,
Chittagong Medical College,hospital,22.3601025,91.8315438,,,
Civil Hospital Shillong,hospital,25.5679611,91.8807062,East Khasi Hills,,
American SuperSpecialty Hospital,hospital,23.8704897,90.4035461,,"+880 2 8932345, +880 2 8918319, +880 2 8918349, +880 2 8918395, +8806662617496, +8801921346125, +8801733559050",
Mahendra Mohan Choudhury Hospital,hospital,26.1854322,91.7404472,Kamrup Metropolitan,,
Altaf Uz Zaman Collage & Hospital,hospital,24.3718395,88.5863408,,,
Anandalok(আনন্দলোক),hospital,22.5843732,88.4289579,,,
Unknown,hospital,22.4951399,88.3121663,,,
Bangladesh Medical College Hospital,hospital,23.7501949,90.3697475,,,
Ibn Sina Hospital,hospital,23.7515946,90.368919,,,
Community Eye Hospital,hospital,21.4436297,91.977268,,,
Central Hospital Cox's Bazar,hospital,21.4423116,91.9770314,,,
Dental Care,hospital,21.4423627,91.9769886,,,
Dental Care,hospital,21.4423021,91.9767396,,,
