name,amenity,lat,lon,district,phone,beds
International School Dhaka,school,23.8113455,90.4313685,,,
American International School / Dhaka,school,23.8010357,90.4192438,,,
Ideal School and College,school,23.735459,90.4227506,,,
Motijheel Model High School and College,school,23.7329568,90.4240343,,,
Uttara High School and College,school,23.8712011,90.3971868,,,
B.N Islamic Highschool,school,20.6335346,92.3256049,,,
Teknaf Rifles Public School,school,20.8730509,92.2815173,,,
Primary School cum Cyclone Center,school,20.9846447,92.1980898,,,
Dhanmondi Girls School,school,23.7489744,90.3773738,,,
Lalmatia Boys High School,school,23.7578281,90.3711962,,,
Lalmatia Girls High School,school,23.7550339,90.3682212,,,
Lalmatia Mohila College,school,23.7557152,90.3685893,,,
Mokbul Hossain Degree College,school,23.754077,90.3607508,,,
আগা খান স্কুল,school,23.8609894,90.4023366,,,
Int. Turkish Hope High School,school,23.8618528,90.4030576,,,
Maple Bear School,school,23.7856478,90.4186085,,,
Muslim High School,school,23.7091051,90.4128448,,,
Dhaka Collegiate School,school,23.7077555,90.410488,,,
Siddeshwari Boys School,school,23.7450271,90.4108734,,,
Shahid Nabi High School,school,23.7193686,90.4220772,,,
K.L.Jubilee High School & College,school,23.7054631,90.4127366,,,
Nirala Ideal School,school,22.7974462,89.5540138,,,
Primary Teachers Training Institute (PTI),school,22.8081327,89.5655253,,,
St. Joseph High School,school,22.8088003,89.5669517,,,
Chittagong Govt. High School,school,22.3539739,91.8367202,,,
Dr Khastagir's Girls' High School,school,22.3477247,91.8342718,,,
B.N College Khulna,school,22.8509383,89.5298469,,,
Engineering University Higher Secondary School,school,23.7277114,90.3935719,,,
Chittagong Collegiate School and College,school,22.333087,91.8252912,,,
Golden Eagle,school,23.7774883,90.392316,,,
Loreto Convent,school,22.5595068,88.3728451,,,
Pogose School,school,23.709365,90.410258,,,
Agrabad Govt. Colony Girls High School,school,22.3271315,91.8091755,,,
Uzanbazar Government Girls' High School,school,26.1914525,91.7539119,,,
Sarada Vidyapith,school,22.4400409,88.4176503,,,
Unknown,school,26.1904355,91.7527946,,,
Marnik Ch. Barua School,school,26.1908248,91.7542213,,,
Anandamath Vidyapith,school,22.7975327,88.376386,,,
Nawab Faizunnesa Girls High School,school,23.4627051,91.1771794,,,
Our Lady of Fatima Girls High School,school,23.4672286,91.1800519,,,
Comilla Modern School,school,23.4592152,91.1758455,,,
Cumilla Zilla School,school,23.4631264,91.180738,Cumilla,,
Patha Bhavan Higher Secondary School,school,22.5251285,88.3690927,,,
Patha Bhavan High School,school,22.5287655,88.3683953,,,
Mother Teresa Catholic School,school,23.8245798,90.3634175,,,
Iranian International School,school,23.7395864,90.3786179,,,
Govt Girls College,school,22.2179327,92.2088724,,,
Bangladesh International School & College,school,23.7813225,90.3946711,,+880 1193–102404,
ST. Peters Primary,school,26.6955615,89.1703268,,,
Airport High School,school,21.4490601,91.9684281,,,
Cox's Bazar Police Line High School,school,21.4447606,91.9737137,,,
Rani Doyamoyi High School,school,22.65916,92.1714748,,,
Bangladesh Elementery School,school,22.3573238,91.8230185,,,
National Gems Higher Secoundry School,school,22.492189,88.3146978,,,
Behla Blind School,school,22.4911829,88.3158083,,,
Shaw Public Girls High School,school,22.492422,88.313523,,,
Kazirbazar Primary School,school,24.5748429,91.7227437,,,
Kazirbazar Aftab Uddin High School,school,24.5745014,91.7225559,,,
Sumari Primary School,school,24.5764723,91.7207428,,,
Rangpur Medical College,school,25.7667045,89.233973,,,
Cant Pubic school And College,school,25.7642372,89.2297968,,,
Lalkuthi School,school,25.7588973,89.235475,,,
Unknown,school,25.7574028,89.236494,,,
Rangpur Zila School,school,25.7577623,89.2428853,,,
Police Line School And College,school,25.75704,89.249105,,,
Technical School And College,school,25.7532532,89.2491965,,,
Koilas Ranjon School,school,25.7524861,89.2536015,,,
St. Mary's Church and School,school,22.3488342,91.8339256,,,
Kazem Ali High School,school,22.3514114,91.83683,,,
Enayet Bazar Ladies' College,school,22.3415121,91.8297386,Chittagong,,
Bangladesh Women's Association (BWA) School,school,22.3535686,91.8223572,,,
"Ispahani Public School and College, Ispahani jeti road, Mohora, Chandgoan",school,22.3598658,91.8161423,,,
MES School ,school,22.3406289,91.8362188,,,
"Shiroil Government High School Field, Rajshahi",school,24.3701187,88.6105886,,,
University of Rajshahi,school,24.3683875,88.6376213,,,
Malumghat Christian School,school,21.6828672,92.0732937,,,
Memorial Christian School (Primary),school,21.6831497,92.0758809,,,
"Loreto Girls School, Sealdah",school,22.5645214,88.3681468,,,
Pogaldigha Primary Scool,school,24.6842423,89.8229849,,,
Musuddi Afaz Uddin High School,school,24.6730233,89.899131,,,
Milan Park GSFP Primary school ,school,22.9209529,88.3927619,,,
Kulkandi High School,school,25.1233973,89.7157116,,,
17non crucho bepari para shulcalipatomicbidara,school,24.931807,89.947118,,,
Jeray,school,24.933248,89.943319,,,
Jamalpur Highschool,school,24.93088,89.940956,,,
Unknown,school,24.911661,89.767778,,,
Unknown,school,24.935349,89.734863,,,
Unknown,school,25.011692,89.726208,,,
Unknown,school,25.029936,89.733294,,,
Unknown,school,25.131304,89.803707,,,
Unknown,school,24.9509,89.858324,,,
Unknown,school,24.799248,89.938103,,,
Unknown,school,24.483636,89.972714,,,
Maktab Primary School,school,22.0811243,88.0873998,,,
Haldia govt. spons. Vivekananda vidyabhaban,school,22.0546369,88.0852576,,,
Dewangonj Govt. High School,school,25.1690695,89.7657834,,,
Dewangonj Primary School,school,25.1682393,89.7654937,,,
Dewanjgonj Alia Madrasha,school,25.1668507,89.7633479,,,
Oxford International School,school,23.7538867,90.3707311,,,
Little Jewels School,school,22.362836,91.8363905,,,
Little Jewels School,school,22.3617868,91.83682,,,
Mastermind School,school,22.3612454,91.8298904,,,
Rahmania High School,school,22.3764103,91.8315615,,,
Aparna Charan City corporation Girl's High School,school,22.3370099,91.8319772,,,
Maderbari Girl's High School,school,22.3297622,91.8240738,,,
Baitush Sharaf Kamil Madrasha,school,22.3362228,91.8166494,,,
Agrabad T&T Colony Primary School,school,22.3277377,91.8085384,,,
Tigerpass Govt. Primary School,school,22.3417602,91.814096,,,
East Nasirabad A.Jalil Primary School,school,22.3695431,91.8180442,,,
Ahmodia High School,school,22.8321928,91.101526,,,
