year,ISO3,ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2022,BGD,Bangladesh,BD,Barisal,BD10,Barguna,BD1004,472401,425887,898288,35243,36903,36318,29058,35736,40703,39913,36859,31880,33303,29875,24799,19901,15191,11307,7919,7493,36007,37269,39499,31180,28301,30768,32452,31577,27326,25949,23488,22360,18912,15378,11090,7704,6627,71250,74172,75817,60238,64037,71471,72365,68436,59206,59252,53363,47159,38813,30569,22397,15623,14120
2022,BGD,Bangladesh,BD,Barisal,BD10,Barisal,BD1006,1150901,1042061,2192962,86494,93527,104748,94742,86918,86272,88311,84150,75809,76594,68343,54741,48261,36207,28464,18448,18872,87872,96163,106311,94439,78946,69933,67550,66842,64055,62127,56894,49569,46033,35940,28031,17039,14317,174366,189690,211059,189181,165864,156205,155861,150992,139864,138721,125237,104310,94294,72147,56495,35487,33189
2022,BGD,Bangladesh,BD,Barisal,BD10,Bhola,BD1009,911898,860217,1772115,88464,92700,88771,72461,74857,75048,68839,59103,51228,50187,46670,42855,34176,26867,17491,11825,10356,91269,95022,93166,75213,61180,63119,61051,56430,47275,40729,37869,34057,34092,26991,20326,12237,10191,179733,187722,181937,147674,136037,138167,129890,115533,98503,90916,84539,76912,68268,53858,37817,24062,20547
2022,BGD,Bangladesh,BD,Barisal,BD10,Jhalokati,BD1042,341741,297582,639323,23474,26352,30296,26609,23364,24296,26804,25600,24038,23663,20974,17718,15212,12279,9242,6174,5646,23827,26869,30735,26027,20015,17614,17685,18525,18993,19125,16858,15778,13372,12186,8860,6156,4957,47301,53221,61031,52636,43379,41910,44489,44125,43031,42788,37832,33496,28584,24465,18102,12330,10603
2022,BGD,Bangladesh,BD,Barisal,BD10,Patuakhali,BD1078,811884,736425,1548309,65245,69952,67898,55569,61455,67193,65835,58630,52059,53398,49934,40910,34122,26091,19031,12383,12179,66584,70897,73233,58186,50000,51958,54056,52094,44936,41464,38304,35558,32431,25746,18548,11867,10563,131829,140849,141131,113755,111455,119151,119891,110724,96995,94862,88238,76468,66553,51837,37579,24250,22742
2022,BGD,Bangladesh,BD,Barisal,BD10,Pirojpur,BD1079,554514,505212,1059726,40506,42604,46025,41996,40402,41801,43300,41431,37307,38336,33081,29341,23276,20658,14335,10948,9167,41102,43378,47765,42490,37245,33448,33415,32976,32207,32310,27553,27265,21856,20175,13708,10621,7698,81608,85982,93790,84486,77647,75249,76715,74407,69514,70646,60634,56606,45132,40833,28043,21569,16865
2022,BGD,Bangladesh,BD,Chittagong,BD20,Bandarban,BD2003,240454,256943,497397,27472,25369,21838,20721,21277,20712,18125,16315,14365,14043,11771,9479,6552,4585,3620,2398,1812,28411,27088,23528,21760,22658,21918,20107,18735,14837,13726,12318,10509,8178,5296,3738,2446,1690,55883,52457,45366,42481,43935,42630,38232,35050,29202,27769,24089,19988,14730,9881,7358,4844,3502
2022,BGD,Bangladesh,BD,Chittagong,BD20,Brahamanbaria,BD2012,1735028,1526303,3261331,186840,179239,162394,143718,138187,132074,124110,111394,106898,95803,90340,65949,63357,44879,39960,23704,26182,191540,186160,159748,140940,116688,95820,87085,83572,80073,74712,73191,60153,56258,42881,35714,21771,19997,378380,365399,322142,284658,254875,227894,211195,194966,186971,170515,163531,126102,119615,87760,75674,45475,46179
2022,BGD,Bangladesh,BD,Chittagong,BD20,Chandpur,BD2013,1334480,1133999,2468479,109002,110391,121949,123539,108904,101946,95718,92558,84369,82975,72695,58168,52793,41551,33483,21631,22808,111264,112479,118343,111915,90924,74343,66012,65066,61043,60802,56473,50946,46546,38503,30590,20748,18002,220266,222870,240292,235454,199828,176289,161730,157624,145412,143777,129168,109114,99339,80054,64073,42379,40810
2022,BGD,Bangladesh,BD,Chittagong,BD20,Chittagong,BD2015,4324526,4282066,8606592,348145,343412,382282,467568,432764,386484,345475,316924,267485,252495,208209,167997,132497,97003,77690,49549,48547,362050,355249,396354,449586,479603,384579,330110,298304,254207,228625,198382,173536,133876,96810,67495,41554,31746,710195,698661,778636,917154,912367,771063,675585,615228,521692,481120,406591,341533,266373,193813,145185,91103,80293
